Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/alerts,397,0,160,171.4263487204699,44.22354500275105,387.2031170030823,2.0,4.450823739564343,0.0,160,200,220,240,290,330,370,370,390,390,390
POST,/api-keys,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0,0.24664514425797365,0.0,740,1200,1200,1200,1300,1400,1600,1600,1600,1600,1600
POST,/auth/login,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0,0.3363342876245095,0.0,1300,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300
POST,/auth/register-organization,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667,0.3363342876245095,0.0,2700,2800,3100,3200,3500,3500,3900,3900,3900,3900,3900
POST,/hunting/search,320,0,200,212.8437396594336,75.3809009984252,529.7113349988649,23.0,3.587565734661435,0.0,200,230,260,270,300,340,380,430,530,530,530
GET,/incidents,461,0,150,166.23206410192034,43.541895000089426,594.8800030018901,2268.3101952277657,5.168336886496629,0.0,150,190,220,230,280,310,360,390,590,590,590
POST,/incidents [seed],40,0,430,685.1649022250058,217.76152000165894,1646.3696079990768,508.475,0.44844571683267936,0.0,450,800,1200,1400,1500,1600,1600,1600,1600,1600,1600
POST,/ingest/events,7627,0,200,211.20640831354126,38.583069002925185,1969.4338139997853,67.0,85.50738705707113,0.0,200,240,270,290,340,370,420,460,1200,2000,2000
GET,/users/me,166,0,150,169.03733053030842,41.11185299916542,382.5863230013056,703.0,1.8610497248556193,0.0,160,200,220,230,270,300,360,380,380,380,380
,Aggregated,9093,0,190,220.47029598179154,38.583069002925185,3930.708912001137,189.43549983503794,101.94292257898883,0.0,190,240,260,280,340,380,450,830,3000,3900,3900
